Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (? Cr)
25-Aug-21,14103.1,14145.45,14070.55,14093.6,1376531468,48182.66
26-Aug-21,14106.45,14147.05,14074.9,14106.95,1491898368,48753.1
27-Aug-21,14126.3,14203.95,14064.1,14192.5,1322925518,47465.23
30-Aug-21,14257.4,14411.95,14250.55,14397.9,1418191928,52768.5
31-Aug-21,14421.3,14571.8,14393.5,14555.9,1939879159,76252.46
01-Sep-21,14611.65,14640.6,14527.05,14551.35,1842266019,58592.84
02-Sep-21,14571.3,14692,14548.5,14684.35,2204479240,55492.82
03-Sep-21,14724.7,14770.85,14682.2,14759.3,2454372126,55570.23
06-Sep-21,14827.05,14843.4,14783.45,14805.85,1605956365,50194.19
07-Sep-21,14834.95,14852.25,14713.55,14784.25,2369606925,51521.42
08-Sep-21,14802.85,14825.1,14716.65,14803.6,2677527502,53492.66
09-Sep-21,14780.6,14844.4,14774.15,14836.45,1826184489,43854.56
13-Sep-21,14839.8,14865.75,14769.1,14852.2,1673709928,45569.06
14-Sep-21,14917.05,14935.55,14881.55,14904.35,2920040073,56376.19
15-Sep-21,14927.95,15028.65,14921.1,15020.55,3135906154,64864.98
16-Sep-21,15050.85,15115.35,15012.25,15104.9,5345605915,67308.24
17-Sep-21,15169.9,15207.7,14979.35,15027.25,4288419796,96706.64
20-Sep-21,14907.5,15047.65,14800.85,14826.75,2432340465,57594.55
21-Sep-21,14856.85,14959.45,14734.7,14946.3,2228665043,61904.7
22-Sep-21,14977.3,15030.85,14950.35,14990.55,2024443497,61036.47
23-Sep-21,15097.1,15219.35,15085.55,15205.45,2046704624,66567.45
24-Sep-21,15274.1,15305.2,15160.45,15191.95,2678377777,71613.59
27-Sep-21,15261.35,15262.65,15139.6,15189.05,1855011060,61300.47
28-Sep-21,15235.1,15239.65,14967.05,15095.6,2245338421,63524.23
29-Sep-21,15023.3,15141.05,14985.4,15086.95,3074300544,77468.97
30-Sep-21,15109.7,15137.55,15026.95,15052.65,3246246370,67479.32
01-Oct-21,14994.8,15031.55,14932.75,15013.95,2547877344,58660.53
04-Oct-21,15094.4,15195.2,15075.25,15181.15,2050818357,60033.98
05-Oct-21,15171.25,15287.7,15150.5,15280.1,2528673224,62408.13
06-Oct-21,15328.95,15349.2,15109.1,15134.55,2579412312,68005.1
07-Oct-21,15274.65,15335.95,15251,15290.15,2134120586,66161.71
08-Oct-21,15375.3,15402.7,15317.4,15365.2,1859852067,66926.76
11-Oct-21,15374.5,15497.8,15356.55,15428,2171060075,70637.79
12-Oct-21,15426.6,15493.25,15371.8,15481.9,2776371650,69043.5
13-Oct-21,15573.6,15660.2,15546.85,15631.4,3027680048,83860.64
14-Oct-21,15733.3,15781,15710.1,15769.25,2579631708,91093.46
18-Oct-21,15924.1,15949.2,15871.4,15886.15,3729469416,95130.93
19-Oct-21,16003.95,16004.45,15716.7,15757.85,2962494793,96625.16
20-Oct-21,15768,15776.35,15497,15568.65,2611891297,87389.01
21-Oct-21,15666.6,15667,15373.45,15487.65,2521990001,79464.32
22-Oct-21,15537.05,15600.45,15328.9,15399.7,2658091327,73931.37
25-Oct-21,15492,15498.4,15181.6,15334.35,2423972413,75201.86
26-Oct-21,15360.35,15528.9,15356.5,15499.65,2377318370,68850.99
27-Oct-21,15541.75,15583.2,15454.1,15484.35,1908733604,64931.2
28-Oct-21,15475.4,15475.45,15148.2,15190.85,2387292812,71438.37
29-Oct-21,15163.5,15266.4,14961.5,15086.9,2323658555,73367.85
01-Nov-21,15179.4,15318.15,15111.3,15302.7,1841726352,58879.91
02-Nov-21,15344.35,15373.7,15278.7,15314.65,1699103912,57540.93
03-Nov-21,15367.7,15397.3,15212.15,15282.75,1590805645,56962.45
04-Nov-21,15380.95,15396.85,15363.35,15376.9,369458204,9759.75
08-Nov-21,15474.25,15535.05,15313.2,15520.15,1750778815,64939.04
09-Nov-21,15542.05,15579.5,15487.7,15541.95,2039428417,62548.55
10-Nov-21,15492.05,15562.45,15458.5,15521.1,1877000269,56292.53
11-Nov-21,15497.25,15499.9,15351.2,15411.1,1493771490,49991.79
12-Nov-21,15504.35,15591.45,15429.6,15579,1520464318,52851.49
15-Nov-21,15625.75,15664.45,15558.05,15592.6,1310851988,49828.85
16-Nov-21,15613.1,15626.65,15492.6,15525.4,1497928101,56650.21
17-Nov-21,15487.15,15560.75,15436.95,15454.95,1356329811,55152.96
18-Nov-21,15461.5,15502.6,15239.8,15302.55,1715283574,59658.4
22-Nov-21,15333.9,15339.65,14846.7,14976.7,2078909437,63655.31
23-Nov-21,14876,15137.15,14820.4,15107.8,2118937938,67264.13
24-Nov-21,15159.95,15199.2,14997.3,15046.5,1857315541,52720.39
25-Nov-21,15057.6,15166.65,14984.7,15150.6,1839959382,51673.7
26-Nov-21,14990.85,15012.1,14674.75,14707.2,2217882330,69530.97
29-Nov-21,14683.05,14749.5,14402.1,14656.45,2224592537,61234.51
30-Nov-21,14662.05,14912.75,14608.6,14648.35,2682400787,103561.49
01-Dec-21,14743.7,14822.5,14694.3,14784.7,2309466860,52490.37
02-Dec-21,14808.8,14990.3,14786.65,14973.95,2101455128,52120.85
03-Dec-21,15002.65,15054.95,14845.25,14856.3,2448004269,53798.84
06-Dec-21,14876.25,14882.15,14599.35,14618.35,2894531091,44148.17
07-Dec-21,14733.25,14881.75,14683.25,14834.5,2053524776,47385.25
08-Dec-21,14945.3,15084.5,14941.3,15073.25,1722666422,49618.26
09-Dec-21,15126.55,15141,15023.2,15126.6,3114038725,48712.33
10-Dec-21,15103.65,15168.8,15069.8,15155,2436218232,47446.05
13-Dec-21,15258.1,15280,15052.9,15064.25,2044804382,52978.35
14-Dec-21,15005.5,15072,14947.95,15043.25,1809018566,49830.59
15-Dec-21,15050.1,15075.7,14936.6,14953.1,1508050662,43695.75
16-Dec-21,15072.95,15078.85,14891.6,14936.45,1656250900,44948.96
17-Dec-21,14952.75,14966.1,14658.5,14673.15,1914338443,63562.24
20-Dec-21,14523.5,14533.8,14128.15,14300.7,2107251611,55045.21
21-Dec-21,14423.7,14584.95,14386.45,14461.4,1649593618,44478.42
22-Dec-21,14542.7,14652.35,14522.55,14639.75,1386347290,40578.9
23-Dec-21,14738.3,14779.3,14708.7,14751.45,1248384517,37049.97
24-Dec-21,14813.9,14819.2,14605.05,14664.8,1376801961,34558.54
27-Dec-21,14617.15,14745.55,14515.25,14727.6,1256619005,33826.13
28-Dec-21,14809.5,14880.85,14805.3,14867.85,1185348855,35448.73
29-Dec-21,14866.2,14922.35,14835.35,14863.4,1573250586,34493.89
30-Dec-21,14856.1,14894.65,14815,14842.05,1794991791,46066.58
31-Dec-21,14879.25,15022.35,14877.85,14996.2,1818214463,36729.15
03-Jan-22,15030.5,15220.05,15028.55,15204.6,1711743989,39006.14
04-Jan-22,15260.9,15333.6,15168.15,15318.75,1992560514,45907.56
05-Jan-22,15329.75,15410.6,15264.85,15396.4,1880757237,52030.71
06-Jan-22,15275.75,15315.5,15197.1,15290.1,1835765443,49115.53
07-Jan-22,15333.45,15418.4,15255.45,15348.55,1831250781,50557.6
10-Jan-22,15427.65,15504,15400.55,15495.55,1742165362,48504.71
11-Jan-22,15497.5,15559.1,15462.05,15530.55,3859562035,53943.53
12-Jan-22,15627.05,15678.7,15595.65,15667.9,2465729163,52965.13
13-Jan-22,15710.3,15730.95,15629.45,15721.05,1886097035,57199.86
14-Jan-22,15667.95,15754.45,15619.55,15730.4,1578334741,50858.15
17-Jan-22,15731.35,15794.95,15718.25,15781.25,1676707252,51494.76
18-Jan-22,15819.45,15834.2,15546.65,15573.1,1865876457,53124.18
19-Jan-22,15580.4,15580.4,15403.2,15472.5,1809243947,57601.18
20-Jan-22,15464.45,15486.15,15280.55,15361.1,1452364959,54475.27
21-Jan-22,15252.9,15294.7,15069.05,15180.8,1624156698,58204.78
24-Jan-22,15155,15165.4,14577.15,14712.05,2092790883,62768.43
25-Jan-22,14577.55,14853,14410.9,14832.2,2059618896,64499.34
27-Jan-22,14671.7,14735.75,14489.8,14679.7,2247371180,72167.81
28-Jan-22,14773.05,14952.15,14701.6,14723.25,2108354405,62900.16
31-Jan-22,14894.75,14975.8,14857.55,14921.45,1701833595,53886.98
01-Feb-22,15073.15,15138.2,14850.3,15116.2,2290902168,62980.23
02-Feb-22,15218.25,15304.6,15201.45,15293.35,1979267946,52109.16
03-Feb-22,15289.15,15296.35,15101,15135.9,1718538295,49653.03
04-Feb-22,15159.6,15188.4,15048.35,15085.45,1700283517,48664.68
07-Feb-22,15065.05,15126.65,14796.2,14870.6,1777758185,50492.38
08-Feb-22,14926.5,14955.25,14689.15,14857.05,1793708441,52368.72
09-Feb-22,14942.75,15026.5,14925.05,15016.35,1413173419,44543.31
10-Feb-22,15084.35,15134.1,14972.35,15112.2,1675851554,48672.97
11-Feb-22,14988.95,14990.6,14862.05,14891.3,1399113736,47828.54
14-Feb-22,14606.55,14638.65,14370.7,14400.4,1733846850,52734.06
15-Feb-22,14469,14822.75,14348.4,14805.55,1813119349,52618.37
16-Feb-22,14876.65,14935.6,14756.5,14789.9,1468717194,44891.86
